explain,url,__timestamp
"I am trying to find out when my CMVI appeal court date is scheduled. Please send instructions on who I can call or what website I should go to.  If I was notified by mail, it may have been misplaced. Thank you. Tom",/how-to/appeal-your-traffic-ticket,2018-06-14 00:00:00+00:00
"I am trying to find out when my CMVI appeal court date is scheduled. Please send instructions on who I can call or what website I should go to.  If I was notified by mail, it may have been misplaced. Thank you. Tom",/how-to/appeal-your-traffic-ticket,2018-06-14 00:00:00+00:00
Is the Medication Administration Training available on this website accepted as proof of training for Family Childcare Providers in MA?,/service-details/medication-administration-training-and-information-for-child-care,2018-06-14 00:00:00+00:00
Very nice person I talked to on phone first,/how-to/request-supplemental-home-improvement-contractor-registration-cards,2018-06-14 00:00:00+00:00
I want book DRIVER’S MANUAL,/service-details/drivers-manuals,2018-06-14 00:00:00+00:00
I want book DRIVER’S MANUAL,/service-details/drivers-manuals,2018-06-14 00:00:00+00:00
How can I replace my driver licence of Puerto Rico by a Massachussets driver licence?Can I have to take the driver test again?Thanks.,/guides/massachusetts-identification-id-requirements,2018-06-14 00:00:00+00:00
Thank you for the information and assistance.,/forms/ask-a-law-librarian-by-email,2018-06-14 00:00:00+00:00
"Hi, There are numerous calls coming from phone number 783-250-0686...saying they are from the IRS and are collecting from 2016 tax discrepancy......they are attempting to get persons to convert money into electronic vouchers. Please beware and look into this scam. They are using 3860 west ridge rd. Rodchester NY , 14626. They refuse to give any name our where to send it but want you to stay on the line while you send the money.  ",/service-details/irsfake-government-entity-scams,2018-06-14 00:00:00+00:00
It would be nice to speak to someone,/service-details/thank-you-for-your-submission?OBToken=4b9e6036-cbb7-4bf1-bf96-e922d696b0e7,2018-06-14 00:00:00+00:00
"""I don't understand why we can no longer schedule a callback for the following business day - at least I don't think so.  I have had some early commitments the past couple of days, and by the time I've gotten online I get the """"not available"""" message.  I'll make sure I log in early tomorrow, but about this time last year it seemed to be much easier to make these appointments and get matters resolved.  I'm not old enough for Social Security, but at the wrong age to readily get work, despite the statistics of usefulness and reliability of we older workers.  My car payment and insurance are due, and my claim is hung up.""",/locations/plymouth-aaa-limited-rmv-services,2018-06-14 00:00:00+00:00
no,/locations/plymouth-aaa-limited-rmv-services,2018-06-14 00:00:00+00:00
Consider making information about transgender minors/process of legal name change before receiving license beginning work and paying taxes etc.....,/locations/plymouth-aaa-limited-rmv-services,2018-06-14 00:00:00+00:00
Please contact me ... I really need help with this.,/locations/plymouth-aaa-limited-rmv-services,2018-06-14 00:00:00+00:00
